repository,packaging_style,region_id,cohesion,coupling,score,action,decision_confidence,boundary
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.extension",8.875,0.9369,0.4809,reconstruct,0.0191,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.file",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.file.domain",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.file.service",1.8462,0.8519,0.3984,reconstruct,0.1016,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.file.service.type",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.filter",1.75,0,0.8182,preserve,0.3182,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.i18n.dao",0.5,0.9812,0.1760,reconstruct,0.3240,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.i18n.domain",1.4,0.9807,0.3013,reconstruct,0.1987,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.i18n.service",2.3077,0.9145,0.3916,reconstruct,0.1084,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.i18n.service.type",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.id.dao",0.5,0.9231,0.2051,reconstruct,0.2949,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.id.domain",0.5,0.96,0.1867,reconstruct,0.3133,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.id.service",0.5,0.9167,0.2083,reconstruct,0.2917,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.io",0.5,0.75,0.2917,reconstruct,0.2083,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.jmx",0,0,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.locale.dao",0.5,0.9630,0.1852,reconstruct,0.3148,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.locale.domain",0.5,0.9969,0.1682,reconstruct,0.3318,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.locale.service",0.5,0.9804,0.1765,reconstruct,0.3235,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.locale.util",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.logging",1.75,0.625,0.5057,preserve,0.0057,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.media.domain",0.6667,0.9876,0.2062,reconstruct,0.2938,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.module",2,0.8824,0.3922,reconstruct,0.1078,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.money",1.6667,0.9924,0.3163,reconstruct,0.1837,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.money.util",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.notification.service",1.4,0.86,0.3617,reconstruct,0.1383,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.notification.service.type",2.25,0.8636,0.4143,reconstruct,0.0857,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.page.dto",0.5,0.9918,0.1708,reconstruct,0.3292,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.payment",0.8333,0.9487,0.2529,reconstruct,0.2471,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.payment.dto",8.1111,0.8501,0.5201,preserve,0.0201,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.payment.service",1.4419,0.8762,0.3571,reconstruct,0.1429,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.persistence",1.3636,0.9583,0.3093,reconstruct,0.1907,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.persistence.transaction",4.3077,0.1385,0.8366,preserve,0.3366,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.presentation",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.presentation.client",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.presentation.override",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.resource",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.resource.service",1.6667,0.7,0.4625,reconstruct,0.0375,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.rest.api.wrapper",2.2,0.2143,0.7366,preserve,0.2366,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.rule",0.1667,0.9882,0.0773,reconstruct,0.4227,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.sandbox",0.25,0.9839,0.1081,reconstruct,0.3919,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.sandbox.dao",0.5,0.9931,0.1701,reconstruct,0.3299,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.sandbox.domain",3.5,0.9412,0.4183,reconstruct,0.0817,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.sandbox.service",0.5,0.9881,0.1726,reconstruct,0.3274,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.security",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.security.channel",0,0,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.security.handler",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.security.ldap",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.security.service",1.2222,0.8571,0.3464,reconstruct,0.1536,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.security.util",0.3333,0.9459,0.1520,reconstruct,0.3480,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.service",0.7143,0.9609,0.2279,reconstruct,0.2721,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.site.dao",0.5,0.9870,0.1732,reconstruct,0.3268,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.site.domain",6,0.9132,0.4720,reconstruct,0.0280,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.site.service",0.8333,0.9643,0.2451,reconstruct,0.2549,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.site.service.provider",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.site.service.type",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.sitemap.controller",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.sitemap.domain",5,0.7765,0.5284,preserve,0.0284,0.5
